Leonardo DiCaprio,1974,0
Oprah Winfrey,1954,0
Albert Einstein,1879,1
Michael Jackson,1958,0
Julia Roberts,1967,1
Nelson Mandela,1918,0
William Shakespeare,1564,0
Charlie Chaplin,1889,1
Elvis Presley,1935,1
Cleopatra,-69,1
Martin Luther King Jr.,1929,1
Marie Curie,1867,1
Charles Darwin,1809,1
Vincent van Gogh,1853,1
Mahatma Gandhi,1869,1
Steve Jobs,1955,1
Pablo Picasso,1881,1
Jane Austen,1775,1
Abraham Lincoln,1809,1
Charles Dickens,1812,0
Florence Nightingale,1820,0
Wolfgang Amadeus Mozart,1756,0
Frida Kahlo,1907,1
Mark Twain,1835,1
Charles Schulz,1922,0
Audrey Hepburn,1929,1
John F. Kennedy,1917,1
Marilyn Monroe,1926,0
Frank Sinatra,1915,1
Stephen Hawking,1942,0
J.K. Rowling,1965,1
David Bowie,1947,1
Harrison Ford,1942,0
Clint Eastwood,1930,0
Elton John,1947,1
Cher,1946,0
Stevie Wonder,1950,0
Paul McCartney,1942,0
George Harrison,1943,1
Ringo Starr,1940,0
John Lennon,1940,0
Yoko Ono,1933,1
Bob Dylan,1941,1
Aretha Franklin,1942,0
Jimi Hendrix,1942,0
Janis Joplin,1943,1
Mick Jagger,1943,1
Keith Richards,1943,1
Eric Clapton,1945,1
Bruce Springsteen,1949,1
Tom Hanks,1956,0
Denzel Washington,1954,0
Meryl Streep,1949,1
Robert De Niro,1943,1
Al Pacino,1940,0
Jack Nicholson,1937,1
Morgan Freeman,1937,1
Clint Howard,1959,1
Ron Howard,1954,0
Danny DeVito,1944,0
Arnold Schwarzenegger,1947,1
Sylvester Stallone,1946,0
Michael Douglas,1944,0
Richard Gere,1949,1
Dustin Hoffman,1937,1
Warren Beatty,1937,1
Robert Redford,1936,0
Paul Newman,1925,1
Elizabeth Taylor,1932,0
Marlon Brando,1924,0
James Dean,1931,1
Marilyn Manson,1969,1
Kurt Cobain,1967,1
Lady Gaga,1986,0
Beyoncé,1981,1
Jay-Z,1969,1
Kanye West,1977,1
Taylor Swift,1989,1
Justin Bieber,1994,0
Rihanna,1988,0
Katy Perry,1984,0
Bruno Mars,1985,1
Adele,1988,0
Ed Sheeran,1991,1
Drake,1986,0
Chris Hemsworth,1983,1
Ryan Reynolds,1976,0
Channing Tatum,1980,0
George Clooney,1961,1
Matt Damon,1970,0
Ben Affleck,1972,0
Will Smith,1968,0
Johnny Depp,1963,1
Nicolas Cage,1964,0
Jim Carrey,1962,0
Adam Sandler,1966,0
Eddie Murphy,1961,1
Mike Tyson,1966,0
Michael Jordan,1963,1
Tiger Woods,1975,1
