Leonardo DiCaprio,1974
Oprah Winfrey,1954
Albert Einstein,1879
Michael Jackson,1958
Julia Roberts,1967
Nelson Mandela,1918
William Shakespeare,1564
Charlie Chaplin,1889
Elvis Presley,1935
Cleopatra, -69
Martin Luther King Jr.,1929
Marie Curie,1867
Charles Darwin,1809
Vincent van Gogh,1853
Mahatma Gandhi,1869
Steve Jobs,1955
Pablo Picasso,1881
Jane Austen,1775
Abraham Lincoln,1809
Charles Dickens,1812
Florence Nightingale,1820
Wolfgang Amadeus Mozart,1756
Frida Kahlo,1907
Mark Twain,1835
Charles Schulz,1922
Audrey Hepburn,1929
John F. Kennedy,1917
Marilyn Monroe,1926
Frank Sinatra,1915
Stephen Hawking,1942
J.K. Rowling,1965
David Bowie,1947
Harrison Ford,1942
Clint Eastwood,1930
Elton John,1947
Cher,1946
Stevie Wonder,1950
Paul McCartney,1942
George Harrison,1943
Ringo Starr,1940
John Lennon,1940
Yoko Ono,1933
Bob Dylan,1941
Aretha Franklin,1942
Jimi Hendrix,1942
Janis Joplin,1943
Mick Jagger,1943
Keith Richards,1943
Eric Clapton,1945
Bruce Springsteen,1949
Tom Hanks,1956
Denzel Washington,1954
Meryl Streep,1949
Robert De Niro,1943
Al Pacino,1940
Jack Nicholson,1937
Morgan Freeman,1937
Clint Howard,1959
Ron Howard,1954
Danny DeVito,1944
Arnold Schwarzenegger,1947
Sylvester Stallone,1946
Michael Douglas,1944
Richard Gere,1949
Dustin Hoffman,1937
Warren Beatty,1937
Robert Redford,1936
Paul Newman,1925
Elizabeth Taylor,1932
Marlon Brando,1924
James Dean,1931
Marilyn Manson,1969
Kurt Cobain,1967
Lady Gaga,1986
Beyoncé,1981
Jay-Z,1969
Kanye West,1977
Taylor Swift,1989
Justin Bieber,1994
Rihanna,1988
Katy Perry,1984
Bruno Mars,1985
Adele,1988
Ed Sheeran,1991
Drake,1986
Chris Hemsworth,1983
Ryan Reynolds,1976
Channing Tatum,1980
George Clooney,1961
Matt Damon,1970
Ben Affleck,1972
Will Smith,1968
Johnny Depp,1963
Nicolas Cage,1964
Jim Carrey,1962
Adam Sandler,1966
Eddie Murphy,1961
Mike Tyson,1966
Michael Jordan,1963
Tiger Woods,1975
